"Stratum","Grid"
"Upper Lemon Bay",500
"Upper Lemon Bay",501
"Upper Lemon Bay",502
"Upper Lemon Bay",503
"Upper Lemon Bay",504
"Upper Lemon Bay",505
"Upper Lemon Bay",506
"Upper Lemon Bay",507
"Upper Lemon Bay",508
"Upper Lemon Bay",509
"Upper Lemon Bay",510
"Upper Lemon Bay",511
"Upper Lemon Bay",512
"Upper Lemon Bay",513
"Upper Lemon Bay",514
"Upper Lemon Bay",515
"Lower Lemon Bay",513
"Lower Lemon Bay",514
"Lower Lemon Bay",515
"Lower Lemon Bay",516
"Lower Lemon Bay",517
"Lower Lemon Bay",518
"Lower Lemon Bay",519
"Lower Lemon Bay",520
"Lower Lemon Bay",521
"Lower Lemon Bay",522
"Lower Lemon Bay",523
"Lower Lemon Bay",524
"Lower Lemon Bay",525
"Lower Lemon Bay",526
"Lower Lemon Bay",527
"Lower Lemon Bay",528
"Lower Lemon Bay",529
"Lower Lemon Bay",530
"Lower Lemon Bay",531
"Lower Lemon Bay",532
"Lower Lemon Bay",533
"Lower Lemon Bay",85
"Cape Haze",86
"Cape Haze",87
"Cape Haze",88
"Cape Haze",97
"Cape Haze",98
"Cape Haze",99
"Cape Haze",100
"Cape Haze",101
"Cape Haze",102
"Cape Haze",103
"Cape Haze",112
"Cape Haze",113
"Cape Haze",114
"Cape Haze",115
"Cape Haze",116
"Cape Haze",117
"Cape Haze",118
"Cape Haze",126
"Cape Haze",127
"Cape Haze",128
"Cape Haze",129
"Cape Haze",130
"Cape Haze",131
"Cape Haze",132
"Tidal Myakka River",1
"Tidal Myakka River",2
"Tidal Myakka River",3
"Tidal Myakka River",4
"Tidal Myakka River",5
"Tidal Myakka River",6
"Tidal Myakka River",7
"Tidal Myakka River",8
"Tidal Myakka River",9
"Tidal Myakka River",10
"Tidal Myakka River",11
"Tidal Myakka River",13
"Tidal Myakka River",14
"Tidal Myakka River",15
"Tidal Myakka River",16
"Tidal Myakka River",19
"Tidal Myakka River",20
"Tidal Myakka River",21
"Tidal Myakka River",22
"Tidal Myakka River",23
"Tidal Myakka River",29
"Tidal Myakka River",30
"Tidal Myakka River",31
"Tidal Myakka River",32
"Tidal Myakka River",39
"Tidal Myakka River",40
"Tidal Myakka River",41
"Tidal Myakka River",42
"Tidal Peace River",12
"Tidal Peace River",17
"Tidal Peace River",18
"Tidal Peace River",24
"Tidal Peace River",25
"Tidal Peace River",26
"Tidal Peace River",27
"Tidal Peace River",28
"Tidal Peace River",33
"Tidal Peace River",34
"Tidal Peace River",35
"Tidal Peace River",36
"Tidal Peace River",37
"Tidal Peace River",38
"Tidal Peace River",43
"Tidal Peace River",44
"Tidal Peace River",45
"Tidal Peace River",46
"Tidal Peace River",47
"Tidal Peace River",48
"Tidal Peace River",189
"Tidal Peace River",190
"Tidal Peace River",191
"Tidal Peace River",192
"Tidal Peace River",193
"Tidal Peace River",194
"Tidal Peace River",195
"Tidal Peace River",196
"Tidal Peace River",197
"Tidal Peace River",198
"Tidal Peace River",199
"Tidal Peace River",200
"Tidal Peace River",201
"Tidal Peace River",202
"Tidal Peace River",203
"West Wall Charlotte Harbor",49
"West Wall Charlotte Harbor",50
"West Wall Charlotte Harbor",51
"West Wall Charlotte Harbor",52
"West Wall Charlotte Harbor",53
"West Wall Charlotte Harbor",54
"West Wall Charlotte Harbor",55
"West Wall Charlotte Harbor",56
"West Wall Charlotte Harbor",57
"West Wall Charlotte Harbor",58
"West Wall Charlotte Harbor",59
"West Wall Charlotte Harbor",60
"West Wall Charlotte Harbor",61
"West Wall Charlotte Harbor",63
"West Wall Charlotte Harbor",64
"West Wall Charlotte Harbor",65
"West Wall Charlotte Harbor",66
"West Wall Charlotte Harbor",70
"West Wall Charlotte Harbor",71
"West Wall Charlotte Harbor",72
"West Wall Charlotte Harbor",77
"West Wall Charlotte Harbor",78
"West Wall Charlotte Harbor",79
"West Wall Charlotte Harbor",89
"West Wall Charlotte Harbor",90
"West Wall Charlotte Harbor",91
"West Wall Charlotte Harbor",104
"West Wall Charlotte Harbor",105
"West Wall Charlotte Harbor",119
"West Wall Charlotte Harbor",120
"East Wall Charlotte Harbor",62
"East Wall Charlotte Harbor",466
"East Wall Charlotte Harbor",67
"East Wall Charlotte Harbor",68
"East Wall Charlotte Harbor",69
"East Wall Charlotte Harbor",73
"East Wall Charlotte Harbor",74
"East Wall Charlotte Harbor",75
"East Wall Charlotte Harbor",76
"East Wall Charlotte Harbor",80
"East Wall Charlotte Harbor",81
"East Wall Charlotte Harbor",82
"East Wall Charlotte Harbor",83
"East Wall Charlotte Harbor",84
"East Wall Charlotte Harbor",92
"East Wall Charlotte Harbor",93
"East Wall Charlotte Harbor",94
"East Wall Charlotte Harbor",95
"East Wall Charlotte Harbor",96
"East Wall Charlotte Harbor",106
"East Wall Charlotte Harbor",107
"East Wall Charlotte Harbor",108
"East Wall Charlotte Harbor",109
"East Wall Charlotte Harbor",110
"East Wall Charlotte Harbor",111
"East Wall Charlotte Harbor",121
"East Wall Charlotte Harbor",122
"East Wall Charlotte Harbor",123
"East Wall Charlotte Harbor",124
"East Wall Charlotte Harbor",125
"East Wall Charlotte Harbor",133
"East Wall Charlotte Harbor",134
"East Wall Charlotte Harbor",135
"East Wall Charlotte Harbor",136
"East Wall Charlotte Harbor",137
"East Wall Charlotte Harbor",138
"Lower Charlotte Harbor",139
"Lower Charlotte Harbor",140
"Lower Charlotte Harbor",141
"Lower Charlotte Harbor",142
"Lower Charlotte Harbor",143
"Lower Charlotte Harbor",144
"Lower Charlotte Harbor",145
"Lower Charlotte Harbor",146
"Lower Charlotte Harbor",147
"Lower Charlotte Harbor",148
"Lower Charlotte Harbor",149
