ResultID,DataSource,StationID,Parameter,RelativeDepth,AnalysisTimeSpan,MinYear,MaxYear,N_obs,Median,Trend,Trend_cat
--------,----------,---------,---------,-------------,----------------,-------,-------,-----,------,-----,-----
526649,EPC_ROUTINE_MONITORING,139,BOD5_MGL,Surface,10 year,1998,2007,120,0.995,0,No Trend
526674,LEE_WQ,10MIFM01,BOD5_MGL,Surface,10 year,2011,2020,120,1.2,0,No Trend
526675,LEE_WQ,10MIFM07,BOD5_MGL,Surface,10 year,2011,2020,119,1.2,-1,"Decreasing Trend, Smaller"
526676,LEE_WQ,10MIGR10,BOD5_MGL,Surface,10 year,2011,2020,119,1.15,-1,"Decreasing Trend, Smaller"
526677,LEE_WQ,10MIGR20,BOD5_MGL,Surface,10 year,2011,2020,118,1.2,-1,"Decreasing Trend, Smaller"
526678,LEE_WQ,10MIGR40,BOD5_MGL,Surface,10 year,2011,2020,119,1.2,-1,"Decreasing Trend, Smaller"
526679,LEE_WQ,10MIGR50,BOD5_MGL,Surface,10 year,2011,2020,119,1.2,-1,"Decreasing Trend, Smaller"
526680,LEE_WQ,10MIGR60,BOD5_MGL,Surface,10 year,2011,2020,120,1.2,-1,"Decreasing Trend, Smaller"
526681,LEE_WQ,10MIGR80,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,0,No Trend
526682,LEE_WQ,10MIGR91,BOD5_MGL,Surface,10 year,2011,2020,119,1.5,-1,"Decreasing Trend, Smaller"
526693,LEE_WQ,150,BOD5_MGL,Surface,10 year,2011,2020,109,1.3,0,No Trend
526702,LEE_WQ,16-18GR,BOD5_MGL,Surface,10 year,2011,2020,117,0.9,-2,"Decreasing Trend, Larger Rate"
526703,LEE_WQ,16-3GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,-1,"Decreasing Trend, Smaller"
526720,LEE_WQ,18-6GR,BOD5_MGL,Surface,10 year,2011,2020,116,1.05,-1,"Decreasing Trend, Smaller"
526727,LEE_WQ,20-29GR,BOD5_MGL,Surface,10 year,2011,2020,117,1.5,-1,"Decreasing Trend, Smaller"
526728,LEE_WQ,20-9GR,BOD5_MGL,Surface,10 year,2011,2020,116,1.3,-1,"Decreasing Trend, Smaller"
526731,LEE_WQ,20A-11GR,BOD5_MGL,Surface,10 year,2011,2020,116,1,-2,"Decreasing Trend, Larger Rate"
526732,LEE_WQ,20A-19GR,BOD5_MGL,Surface,10 year,2011,2020,118,1.55,-1,"Decreasing Trend, Smaller"
526733,LEE_WQ,21-7GR,BOD5_MGL,Surface,10 year,2011,2020,116,1.4,-1,"Decreasing Trend, Smaller"
526737,LEE_WQ,22-18GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,-1,"Decreasing Trend, Smaller"
526738,LEE_WQ,22-7GR,BOD5_MGL,Surface,10 year,2011,2020,116,1.4,-1,"Decreasing Trend, Smaller"
526741,LEE_WQ,23-27GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.4,-1,"Decreasing Trend, Smaller"
526742,LEE_WQ,23-5GR,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,-1,"Decreasing Trend, Smaller"
526746,LEE_WQ,24-19GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.5,0,No Trend
526747,LEE_WQ,24-7GR,BOD5_MGL,Surface,10 year,2011,2020,116,1.1,-1,"Decreasing Trend, Smaller"
526750,LEE_WQ,25-GR20,BOD5_MGL,Surface,10 year,2011,2020,116,1.3,-1,"Decreasing Trend, Smaller"
526757,LEE_WQ,27-6GR,BOD5_MGL,Surface,10 year,2011,2020,118,1.25,-1,"Decreasing Trend, Smaller"
526762,LEE_WQ,27O-GR20,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,0,No Trend
526763,LEE_WQ,28-5GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.25,-1,"Decreasing Trend, Smaller"
526769,LEE_WQ,29-8GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.1,-1,"Decreasing Trend, Smaller"
526811,LEE_WQ,360,BOD5_MGL,Surface,10 year,2011,2020,108,1.2,0,No Trend
