Stratum,DATASOURCE,STATIONID,STATIONNAME,UNIQUEID
2,LEGACYSTORET_21FLA,25030409,SPTING RUN AT U S 41 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25030409
2,LEGACYSTORET_21FLSARA,25030409,SPTING RUN AT U S 41 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLSARA : 25030409
2,SARASOTAES_WQ,ML-3,MYAKKA RIVER S ML-3,SARASOTAES_WQ : ML-3
2,STORET_21FLWQA,270252008216316,Salt Creek at Route 41 (Warm Mineral Springs Run),STORET_21FLWQA : 270252008216316
2,LEGACYSTORET_21FLSARA,ML-3,MYAKKA RIVER S ML-3,LEGACYSTORET_21FLSARA : ML-3
2,USGS_NWIS,270217082165300,MYAKKA RIVER SALINE 50 DOWNSTREAM OF U.S. 41,USGS_NWIS : 270217082165300
2,SARASOTAES_WQ,MR-4,MYAKKA RIVER MR-4,SARASOTAES_WQ : MR-4
1,LEGACYSTORET_21FLA,25030402,MYAKKA R AT US 41 BRDG / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25030402
1,LEGACYSTORET_21FLSARA,25030402,MYAKKA R AT US 41 BRDG / SOUTH-EAST / PEACE,LEGACYSTORET_21FLSARA : 25030402
1,SARASOTAES_WQ,ML-1,MYAKKA RIVER S ML-1,SARASOTAES_WQ : ML-1
1,STORET_21FLFTM,25030402,MYAKKA R AT US 41 BRDG,STORET_21FLFTM : 25030402
1,USGS_NWIS,02299230,MYAKKA RIVER AT NORTH PORT CHARLOTTE FL,USGS_NWIS : 02299230
1,USGS_NWIS,270250082173600,MYAKKA RIVER ESTUARY,USGS_NWIS : 270250082173600
1,LEGACYSTORET_21FLSARA,ML-1,MYAKKA RIVER S ML-1,LEGACYSTORET_21FLSARA : ML-1
46,STORET_21FLFTM,25020480,PUNTA GORDA ISLES TARPON INLET,STORET_21FLFTM : 25020480
46,STORET_21FLFTM,25020481,PGI 100 YDS FRM END SUNFISH COVE,STORET_21FLFTM : 25020481
46,STORET_21FLFTM,25020489,CHARLOTTE HBR BTW CNDMNM MRKR 3,STORET_21FLFTM : 25020489
46,STORET_21FLFTM,25020498,TARPON INLT MTH TO CHARLOTTE HRB,STORET_21FLFTM : 25020498
46,STORET_21FLFTM,25020499,PGI BETA CNL END 2ND FINGER CNL,STORET_21FLFTM : 25020499
46,STORET_21FLSWFD,670064,PEACE TIDAL CCHMN-35,STORET_21FLSWFD : 670064
46,STORET_FLPRMRWS,PR103_1003,-2.4 km 12 o/oo,STORET_FLPRMRWS : PR103_1003
46,STORET_21FLFTM,25020574FTM,PUNTA GORDA ISLES CA (PGI) SITE 1,STORET_21FLFTM : 25020574FTM
46,STORET_FLPRMRWS,PR102_0605,Peace River @ river kilometer 1.8 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0605
46,STORET_FLPRMRWS,PR102_0805,Peace River @ river kilometer 1.9 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0805
46,STORET_FLPRMRWS,PR103_0305,Peace River @ river kilometer 4.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0305
46,STORET_FLPRMRWS,PR104_0305,Peace River @ river kilometer 0.5 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0305
46,STORET_FLPRMRWS,PR104_1006,Peace River @ river kilometer 3.5 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_1006
46,LEGACYSTORET_1113S000,120745-D,PUNTA GORDA ISLE 1200' FRM MOUTH / SOUTHEAST / PEACE RIVER      FINGER FILL CANAL STUDY,LEGACYSTORET_1113S000 : 120745-D
46,LEGACYSTORET_1113S000,120800-D,PUNTA GORDA ISLE BCKGRND CHAR.HR / SOUTHEAST / PEACE RIVER      FINGER FILL CANAL STUDY,LEGACYSTORET_1113S000 : 120800-D
46,LEGACYSTORET_21FLA,25020480,PUNTA GORDA ISLES TARPON INLET / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020480
46,LEGACYSTORET_21FLA,25020489,CHARLOTTE HBR BTW CNDMNM MRKR 3 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020489
46,LEGACYSTORET_21FLA,25020498,TARPON INLT MTH TO CHARLOTTE HRB / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020498
46,LEGACYSTORET_21FLA,25020499,PGI BETA CNL END 2ND FINGER CNL / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020499
45,STORET_21FLFTM,25020488,CHARLOTTE HRBR MRKR 2W,STORET_21FLFTM : 25020488
45,STORET_FLPRMRWS,PR103_0404,13.30 km 12 o/oo,STORET_FLPRMRWS : PR103_0404
45,STORET_FLPRMRWS,PR103_0604,17.50 km 12 o/oo,STORET_FLPRMRWS : PR103_0604
45,STORET_FLPRMRWS,PR103_0803,25.9 km 12 o/oo,STORET_FLPRMRWS : PR103_0803
45,STORET_FLPRMRWS,PR104_0604,15.70 km 20 o/oo,STORET_FLPRMRWS : PR104_0604
45,USGS_NWIS,02298385,PEACE RIVER AT MOUTH AT PORT CHARLOTTE,USGS_NWIS : 02298385
45,USGS_NWIS,265522082064600,PEACE RIVER AT MOUTH AT PORT CHARLOTTEE FL,USGS_NWIS : 265522082064600
